"","V1"
"400",0.970084
"401",0.975228
"402",0.944308
"403",0.992945
"404",0.994965
"405",0.979219
"406",0.986686
"407",0.894459
"408",0.989588
"409",0.977981
"410",0.992544
"411",0.99625
"412",0.935783
"413",0.999384
"414",0.979249
"415",0.96033
"416",0.991089
"417",0.887517
"418",0.944337
"419",0.992764
"420",0.971146
"421",0.931946
"422",0.953603
"423",0.980503
"424",0.972725
"425",0.910397
"426",0.977328
"427",0.996675
"428",0.988834
"429",0.992494
"430",0.995791
"431",0.677251
"432",0.982317
"433",0.992107
"434",0.955021
"435",0.980232
"436",0.930949
"437",0.98935
"438",0.996062
"439",0.900314
"440",0.99291
"441",0.982451
"442",0.959767
"443",0.983576
"444",0.996712
"445",0.863846
"446",0.855567
"447",0.996688
"448",0.922937
"449",0.979118
"450",0.996605
"451",0.997324
"452",0.980562
"453",0.981933
"454",0.9992
"455",0.999785
"456",0.966046
"457",0.992139
"458",0.999742
"459",0.989108
"460",0.985723
"461",0.933196
"462",0.987431
"463",0.997556
"464",0.887486
"465",0.876727
"466",0.914468
"467",0.882767
"468",0.995768
"469",0.968478
"470",0.991305
"471",0.98714
"472",0.911995
"473",0.937891
"474",0.981166
"475",0.983074
"476",0.999858
"477",0.998973
"478",0.814695
"479",0.999091
"480",0.991837
"481",0.993795
"482",0.989709
"483",0.907109
"484",0.99418
"485",0.922937
"486",0.984449
"487",0.959156
"488",0.999459
"489",0.998451
"490",0.982498
"491",0.90701
"492",0.998111
"493",0.980656
"494",0.991823
"495",0.998439
"496",0.990367
"497",0.999651
"498",0.95678
"499",0.948361
"500",0.98888
"501",0.941463
"502",0.995321
"503",0.951643
"504",0.972532
"505",0.985921
"506",0.997958
"507",0.944022
"508",0.990241
"509",0.991664
"510",0.822964
"511",0.932401
"512",0.97933
"513",0.875291
"514",0.983669
"515",0.993411
"516",0.979077
"517",0.978688
"518",0.880047
"519",0.983576
"520",0.993077
"521",0.999303
"522",0.930079
"523",0.98125
"524",0.969954
"525",0.947789
"526",0.99508
"527",0.961188
"528",0.942932
"529",0.999691
"530",0.996866
"531",0.979378
"532",0.970525
"533",0.996062
"534",0.999459
"535",0.976512
"536",0.958284
"537",0.991709
"538",0.975145
"539",0.982354
"540",0.945314
"541",0.906151
"542",0.963999
"543",0.996432
"544",0.992668
"545",0.976611
"546",0.984135
"547",0.987634
"548",0.996693
"549",0.996286
"550",0.989724
"551",0.992945
"552",0.935438
"553",0.966829
"554",0.977403
"555",0.992685
"556",0.95188
"557",0.966974
"558",0.9595
"559",0.987943
"560",0.987113
"561",0.997758
"562",0.996015
"563",0.969191
"564",0.99402
"565",0.99934
"566",0.930583
"567",0.969151
"568",0.984226
"569",0.9969
"570",0.975527
"571",0.785599
"572",0.994771
"573",0.988787
"574",0.989593
"575",0.998806
"576",0.969086
"577",0.954797
"578",0.97072
"579",0.985725
"580",0.797506
"581",0.880455
"582",0.761037
"583",0.997957
"584",0.990511
"585",0.910634
"586",0.992508
"587",0.990968
"588",0.984222
"589",0.982529
"590",0.986049
"591",0.93944
"592",0.982801
"593",0.99938
"594",0.988585
"595",0.812453
"596",0.780912
"597",0.994634
"598",0.984343
"599",0.99683
"600",0.975089
"601",0.927813
"602",0.988787
"603",0.878544
"604",0.998572
"605",0.989496
"606",0.988514
"607",0.999436
"608",0.994726
"609",0.985729
"610",0.982146
"611",0.977599
"612",0.998212
"613",0.991146
"614",0.983221
"615",0.979458
"616",0.987117
"617",0.99217
"618",0.988379
"619",0.973984
"620",0.990063
"621",0.989496
