"","V1"
"400",0.613644
"401",0.347533
"402",0.114564
"403",0.573846
"404",0.4904
"405",0.29722
"406",0.898059
"407",0.439413
"408",0.182023
"409",0.635025
"410",0.72055
"411",0.468735
"412",0.201592
"413",0.16812
"414",0.255991
"415",0.772842
"416",0.919024
"417",0.209771
"418",0.725815
"419",0.539487
"420",0.754737
"421",0.198126
"422",0.469153
"423",0.832576
"424",0.887128
"425",0.765591
"426",0.310439
"427",0.713525
"428",0.254384
"429",0.532159
"430",0.37843
"431",0.77347
"432",0.846249
"433",0.983969
"434",0.204604
"435",0.438872
"436",0.439804
"437",0.517282
"438",0.558933
"439",0.963272
"440",0.322054
"441",0.276341
"442",0.773423
"443",0.834696
"444",0.367691
"445",0.738157
"446",0.26253
"447",0.886382
"448",0.381789
"449",0.482563
"450",0.615346
"451",0.592677
"452",0.31031
"453",0.42143
"454",0.511443
"455",0.5154
"456",0.962503
"457",0.680766
"458",0.486207
"459",0.359149
"460",0.294244
"461",0.606394
"462",0.45831
"463",0.329413
"464",0.817173
"465",0.825248
"466",0.428759
"467",0.903443
"468",0.60127
"469",0.444437
"470",0.23543
"471",0.299232
"472",0.631092
"473",0.114887
"474",0.962152
"475",0.46849
"476",0.50323
"477",0.423687
"478",0.423197
"479",0.691555
"480",0.561914
"481",0.145571
"482",0.591538
"483",0.597373
"484",0.649074
"485",0.381789
"486",0.623648
"487",0.572643
"488",0.490487
"489",0.161909
"490",0.298829
"491",0.397559
"492",0.561457
"493",0.269628
"494",0.319911
"495",0.52894
"496",0.554944
"497",0.907015
"498",0.590437
"499",0.573558
"500",0.600062
"501",0.800016
"502",0.495819
"503",0.540747
"504",0.621186
"505",0.518154
"506",0.435173
"507",0.291385
"508",0.460506
"509",0.397868
"510",0.362991
"511",0.633627
"512",0.245649
"513",0.432605
"514",0.715922
"515",0.773611
"516",0.291491
"517",0.773123
"518",0.402408
"519",0.834696
"520",0.697408
"521",0.354038
"522",0.822769
"523",0.487848
"524",0.395908
"525",0.556165
"526",0.320669
"527",0.691174
"528",0.636906
"529",0.172996
"530",0.187783
"531",0.38231
"532",0.489306
"533",0.558933
"534",0.490487
"535",0.510098
"536",0.926918
"537",0.439996
"538",0.370493
"539",0.272669
"540",0.245661
"541",0.535205
"542",0.565084
"543",0.431957
"544",0.459774
"545",0.341632
"546",0.987759
"547",0.360503
"548",0.404931
"549",0.566164
"550",0.386069
"551",0.573846
"552",0.333166
"553",0.433054
"554",0.949334
"555",0.240385
"556",0.295696
"557",0.364253
"558",0.620858
"559",0.517879
"560",0.541655
"561",0.632434
"562",0.527285
"563",0.398763
"564",0.530599
"565",0.45037
"566",0.551118
"567",0.411274
"568",0.749496
"569",0.943367
"570",0.625097
"571",0.735892
"572",0.186691
"573",0.377585
"574",0.447781
"575",0.608118
"576",0.451088
"577",0.476472
"578",0.276198
"579",0.175118
"580",0.308099
"581",0.588849
"582",0.966631
"583",0.36577
"584",0.349036
"585",0.344551
"586",0.36186
"587",0.420944
"588",0.822787
"589",0.287813
"590",0.302372
"591",0.82093
"592",0.328631
"593",0.360754
"594",0.927986
"595",0.38373
"596",0.292047
"597",0.471806
"598",0.618119
"599",0.67398
"600",0.556833
"601",0.573805
"602",0.377585
"603",0.818186
"604",0.660272
"605",0.336067
"606",0.570998
"607",0.520582
"608",0.391166
"609",0.276891
"610",0.763522
"611",0.27445
"612",0.463385
"613",0.22167
"614",0.538737
"615",0.259847
"616",0.662392
"617",0.372323
"618",0.509837
"619",0.604661
"620",0.372082
"621",0.336067
"622",0.534734
"623",0.221259
"624",0.617998
"625",0.623363
"626",0.383486
"627",0.257002
"628",0.941933
"629",0.551662
"630",0.594579
"631",0.69407
"632",0.327122
"633",0.301985
"634",0.525417
"635",0.390844
"636",0.283105
"637",0.408897
"638",0.489274
"639",0.95591
"640",0.426595
"641",0.859139
"642",0.335008
"643",0.439886
"644",0.354584
"645",0.200808
"646",0.611256
"647",0.409727
"648",0.306051
"649",0.335694
"650",0.684288
"651",0.884906
"652",0.346691
"653",0.371237
"654",0.651937
"655",0.177248
"656",0.831728
"657",0.418923
"658",0.593856
"659",0.344802
"660",0.300538
