"","x","y"
"826",4.27972,0.959597
"827",6.04377,5.79648
"828",9.88638,3.68122
"829",0.924178,6.99171
"830",2.93419,8.74754
"831",2.12503,6.46847
"832",5.18132,5.67699
"833",3.36486,0.774521
"834",3.23513,7.92319
"835",6.87034,8.83221
"836",5.39699,6.74901
"837",5.61687,10.732
"838",0.637027,5.57323
"839",0.739545,11.1219
"840",5.1493,7.89851
"841",8.59242,9.74183
"842",4.39762,1.0067
"843",7.63736,2.41725
"844",4.03819,6.22178
"845",8.84742,7.88427
"846",4.82103,3.77324
"847",0.940161,7.06453
"848",9.26266,3.8514
"849",11.0494,8.08218
"850",5.30803,7.53828
"851",6.31334,2.21927
"852",2.5718,1.84584
"853",9.97206,0.621046
"854",3.0379,0.635068
"855",3.00808,3.49027
"856",9.66718,2.79313
"857",1.70474,0.99248
"858",5.36573,3.21891
"859",7.51407,4.82379
"860",10.2111,4.57879
"861",8.89094,1.19197
"862",0.757672,7.69313
"863",8.56409,1.95994
"864",8.08323,0.636751
"865",2.78047,4.76162
"866",0.659155,1.90293
"867",10.0455,11.0699
"868",6.3024,5.72351
"869",10.6264,8.77241
"870",0.617372,11.2901
"871",2.97006,6.87769
"872",6.54286,8.72267
"873",0.756816,0.90802
"874",4.07507,3.10774
"875",5.30554,6.49398
"876",0.652306,5.76799
"877",2.82016,11.2262
"878",6.921,1.80566
"879",6.98926,11.1193
"880",7.44842,3.38684
"881",7.77953,2.03962
"882",1.26876,7.8459
"883",4.18685,7.64296
"884",7.42305,7.71
"885",4.532,0.66067
"886",9.24707,2.67435
"887",2.55998,5.98764
"888",5.16051,6.59419
"889",6.34941,10.1024
"890",10.1729,9.98551
"891",2.33062,9.81061
"892",2.95899,2.32584
"893",1.73863,6.32753
"894",5.00522,4.15658
"895",4.25924,0.981653
"896",3.99424,7.90875
"897",5.32649,1.23146
"898",9.11234,11.0831
"899",6.58434,1.7947
"900",10.0333,8.82789
"901",4.17949,7.79945
"902",11.1123,10.1769
"903",2.21066,0.867961
"904",7.75742,6.70124
"905",7.18944,5.61181
"906",0.635534,1.32214
"907",10.1484,3.82813
"908",9.03905,8.18091
"909",11.1666,0.8488
"910",4.30585,0.788088
"911",5.36092,11.3072
"912",6.63421,7.77075
"913",5.23444,5.8037
"914",11.1639,0.747503
"915",7.02479,4.41136
"916",1.95874,4.32937
"917",4.86156,7.77556
"918",3.07559,3.47123
"919",10.4531,5.91805
"920",10.4383,5.98027
"921",9.09868,6.70068
"922",0.821218,8.7119
"923",11.2237,3.978
"924",1.98385,6.43963
"925",7.33653,5.59889
"926",5.76437,8.96408
"927",10.9983,2.98558
"928",4.53112,9.85546
"929",6.84918,6.74438
"930",2.93361,4.97005
"931",5.12682,4.60682
"932",8.92929,10.7445
"933",10.0763,1.20786
"934",6.42611,11.4337
"935",6.4374,5.03941
"936",8.77933,10.1338
"937",8.80763,7.60273
"938",5.23446,1.0763
"939",2.84719,7.7345
"940",8.00748,11.033
"941",11.2629,9.94052
"942",3.22043,10.0236
"943",3.43066,9.87476
"944",7.79827,8.57412
"945",4.66015,8.74697
"946",10.0885,4.77027
"947",7.96866,9.24759
"948",0.714445,4.54421
"949",8.45646,3.89567
"950",1.15568,10.8897
"951",4.92852,10.272
"952",7.38947,3.39039
"953",2.20044,10.1719
"954",7.64825,4.82366
"955",8.14313,2.16937
"956",9.95044,3.44983
"957",7.62191,0.657469
"958",10.0855,11.3526
"959",5.47635,2.1248
"960",10.1008,7.10889
"961",3.54548,9.98146
"962",0.604478,7.97818
"963",7.11068,8.76621
"964",8.89537,7.69942
"965",6.89829,8.8513
"966",5.28577,2.24378
"967",6.96606,1.85926
"968",9.97464,5.80143
"969",1.86745,3.4159
"970",10.2531,7.96474
"971",11.0374,1.14917
"972",3.70336,4.16093
"973",8.59069,2.9448
"974",8.77701,0.539386
"975",11.4226,1.00419
"976",6.50975,3.14751
"977",6.69807,6.56362
"978",4.83329,6.07099
"979",3.94001,5.477
"980",1.89043,6.33397
"981",3.11239,3.58942
"982",9.21105,10.663
"983",7.67283,7.03674
"984",9.28107,2.48507
"985",3.11525,0.888405
"986",6.53423,7.78377
"987",4.42517,1.03568
"988",7.59315,2.38649
"989",9.73274,11.49
"990",8.27846,9.84969
"991",6.54289,0.630427
"992",6.65533,0.75599
"993",2.14781,4.34716
"994",5.50671,11.2907
"995",1.863,2.6255
"996",3.46637,9.91712
"997",7.75063,2.71536
"998",2.00533,11.0589
"999",2.91393,4.94913
"1000",10.8482,2.73018
"1001",8.68913,7.2944
"1002",5.53264,1.40912
"1003",5.55977,1.32356
"1004",1.04268,8.71447
"1005",3.87708,7.49775
"1006",1.13374,2.01975
"1007",6.24511,3.28728
"1008",4.83282,10.1617
"1009",11.0373,5.72432
"1010",5.30996,10.213
"1011",6.60708,6.76655
"1012",9.19655,10.4505
"1013",2.8929,5.54234
"1014",6.63927,6.50441
"1015",0.725402,5.39714
"1016",6.75973,2.02027
"1017",3.02221,7.69692
"1018",8.12664,8.7935
"1019",5.3345,11.2195
"1020",5.50852,11.4041
"1021",1.82272,0.592835
"1022",8.78354,4.95242
"1023",3.89829,5.08834
"1024",7.77427,0.889741
"1025",9.35189,9.14776
"1026",6.80351,1.06596
"1027",3.321,7.03333
"1028",11.1657,6.52776
"1029",5.87142,8.14271
"1030",9.75534,6.73794
"1031",8.93423,8.85882
"1032",5.03962,6.50419
"1033",7.80122,5.77845
"1034",1.92008,3.26834
"1035",11.3472,1.41179
"1036",4.88069,4.19128
"1037",4.18229,6.06309
"1038",8.8739,0.670424
"1039",1.86043,4.75861
"1040",10.9014,8.26209
"1041",3.86842,5.40225
"1042",6.59416,0.859879
"1043",0.920683,2.12597
"1044",0.526186,3.30045
"1045",2.12592,3.28961
"1046",2.81136,8.89249
"1047",6.51179,6.78959
"1048",8.57877,0.699607
"1049",4.88367,4.44598
"1050",6.23067,3.02945
"1051",0.806703,7.90031
"1052",11.2418,9.5565
"1053",6.65217,11.3303
"1054",10.2971,0.686879
"1055",1.71809,6.15486
"1056",6.87961,5.31288
"1057",4.4235,5.05504
"1058",2.10865,10.0374
"1059",2.40597,10.0755
"1060",5.51187,8.96471
"1061",9.31008,7.83686
"1062",6.90685,2.19157
"1063",8.09235,8.50413
"1064",9.88068,7.92227
"1065",3.19893,1.23538
"1066",8.66914,9.82598
"1067",3.94883,4.61195
"1068",0.991478,7.08745
"1069",7.7777,9.64716
"1070",5.50803,3.3509
"1071",5.45412,3.57195
